Case Name,Price
Fever Case,0.97
Gallery Case,0.95
Kilowatt Case,0.63
Revolution Case,0.74
Recoil Case,0.48
Dreams & Nightmares Case,2.3
Operation Riptide Case,17.6
Snakebite Case,0.92
Operation Broken Fang Case,12.67
Fracture Case,0.53
Prisma 2 Case,2.37
Shattered Web Case,8.31
CS20 Case,1.8
Prisma Case,2.41
Danger Zone Case,2.54
Horizon Case,2.41
Clutch Case,1.46
Spectrum 2 Case,5.15
Operation Hydra Case,33.14
Spectrum Case,7.63
Glove Case,16.98
Gamma 2 Case,5.67
Gamma Case,5.61
Chroma 3 Case,5.2
Operation Wildfire Case,4.85
Revolver Case,5.11
Shadow Case,2.15
Falchion Case,2.26
Chroma 2 Case,6.25
Chroma Case,6.61
Operation Vanguard Weapon Case,5.84
eSports 2014 Summer Case,19.32
Operation Breakout Weapon Case,14.15
Huntsman Weapon Case,13.4
Operation Phoenix Weapon Case,7.07
CS:GO Weapon Case 3,11.67
Winter Offensive Weapon Case,10.72
eSports 2013 Winter Case,17.31
CS:GO Weapon Case 2,15.64
Operation Bravo Case,70.51
eSports 2013 Case,90.86
CS:GO Weapon Case,164.83